week_end,cases
2024-01-06,4
2024-01-13,4
2024-01-20,2
2024-01-27,2
2024-02-03,5
2024-02-10,3
2024-02-17,14
2024-02-24,9
2024-03-02,6
2024-03-09,3
2024-03-16,12
2024-03-23,38
2024-03-30,9
2024-04-06,10
2024-04-13,4
2024-04-20,3
2024-04-27,4
2024-05-04,0
2024-05-11,4
2024-05-18,5
2024-05-25,5
2024-06-01,6
2024-06-08,0
2024-06-15,4
2024-06-22,4
2024-06-29,3
2024-07-06,7
2024-07-13,13
2024-07-20,11
2024-07-27,7
2024-08-03,12
2024-08-10,7
2024-08-17,9
2024-08-24,8
2024-08-31,11
2024-09-07,10
2024-09-14,3
2024-09-21,3
2024-09-28,1
2024-10-05,2
2024-10-12,1
2024-10-19,3
2024-10-26,1
2024-11-02,3
2024-11-09,4
2024-11-16,3
2024-11-23,0
2024-11-30,2
2024-12-07,0
2024-12-14,0
2024-12-21,0
2024-12-28,1
2025-01-04,2
2025-01-11,1
2025-01-18,1
2025-01-25,11
2025-02-01,19
2025-02-08,27
2025-02-15,65
2025-02-22,85
2025-03-01,75
2025-03-08,90
2025-03-15,84
2025-03-22,103
2025-03-29,91
2025-04-05,115
2025-04-12,74
2025-04-19,86
2025-04-26,48
2025-05-03,49
2025-05-10,35
2025-05-17,25
2025-05-24,55
2025-05-31,41
2025-06-07,24
2025-06-14,20
2025-06-21,29
2025-06-28,35
2025-07-05,18
2025-07-12,15
2025-07-19,13
2025-07-26,17
2025-08-02,13
2025-08-09,11
2025-08-16,21
2025-08-23,38
2025-08-30,36
2025-09-06,22
2025-09-13,28
2025-09-20,21
2025-09-27,18
2025-10-04,22
2025-10-11,21
2025-10-18,28
2025-10-25,35
2025-11-01,31
2025-11-08,41
2025-11-15,29
2025-11-22,53
2025-11-29,43
2025-12-06,69
2025-12-13,58
2025-12-20,56
2025-12-27,49
2026-01-03,146
2026-01-10,158
2026-01-17,13
